Station_name Instrument Component P_phase_onset P_phase_descriptor First_Motion Date Hour_min Seconds GAU Err Coda_duration Amplitude Period
T1204 ? ? ? S ? 20161014 0000 15.480 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
CAMP ? ? ? S ? 20161014 0000 19.780 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
CAMP ? ? ? P ? 20161014 0000 14.830 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
SMA1 ? ? ? P ? 20161014 0000 13.050 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED25 ? ? ? P ? 20161014 0000 14.010 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED25 ? ? ? S ? 20161014 0000 18.140 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED14 ? ? ? S ? 20161014 0000 22.880 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED14 ? ? ? P ? 20161014 0000 16.400 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED05 ? ? ? S ? 20161014 0000 21.430 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED05 ? ? ? P ? 20161014 0000 15.620 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
T1299 ? ? ? P ? 20161014 0000 12.900 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
T1201 ? ? ? S ? 20161014 0000 15.800 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
T1202 ? ? ? S ? 20161014 0000 13.890 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
T1202 ? ? ? P ? 20161014 0000 11.610 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
T1214 ? ? ? P ? 20161014 0000 10.590 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
RM33 ? ? ? S ? 20161014 0000 19.880 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00

