# 2016 10 14 00 00  9.050 42.8128  13.2100   8.500  0.92 0 0 0      1
 ED11   8.282 1 S
T1218   5.992 1 S
 ED12  11.522 1 S
T1212   5.472 1 P
T1212   9.042 1 S
 ED24   3.002 1 P
 ED24   5.232 1 S
 ED10   8.362 1 S
 NRCA  10.312 1 S
T1202   3.602 1 P
T1202   6.502 1 S
T1201   2.862 1 P
T1201   5.142 1 S
 ED23   4.012 1 P
 ED23   7.082 1 S
T1299   2.472 1 P
 ED16  10.002 1 S
 MMO1  11.632 1 S
T1204   2.992 1 P
T1204   5.172 1 S
 ED09   4.922 1 P
 ED09   8.902 1 S
 SMA1   2.652 1 P
 SMA1   4.652 1 S
 ED20   4.252 1 P
 ED20   7.622 1 S
 ED04   2.292 1 P
T1243   3.812 1 P
T1243   6.902 1 S
 ED25   2.512 1 P
 ED25   4.532 1 S
 ED07   3.502 1 P
 TERO   4.832 1 P
 TERO   8.712 1 S
T1246   6.502 1 S
T1246   3.652 1 P
 ED15   7.902 1 S
 ED15   4.372 1 P
 CAMP   5.162 1 S
 ED14   6.742 1 S
 ED14   3.972 1 P
 ED05   5.612 1 S
# 2016 10 14 00 04 52.929 42.8893  13.2416   3.010  0.78 0 0 0      7
T1202   7.611 1 S
 ED03  10.751 1 S
 ED24   9.401 1 S
T1214   5.521 1 S
 ED01  14.021 1 S
T1218   9.011 1 S
 ED10   5.211 1 S
 ED11   9.271 1 S
 ED02  12.941 1 S
T1212   7.491 1 S
T1217  10.621 1 S
T1245   1.251 1 P
 ED12   7.801 1 S
T1215  10.301 1 S
T1216   3.241 1 P
T1216   6.141 1 S
 CESI   9.731 1 S
 ED19   1.641 1 P
  MC2   1.141 1 P
 FDMO   6.671 1 S
 ED18   2.111 1 P
 ED18   4.101 1 S
 ED21   5.051 1 S
 ED21   2.771 1 P
 GUMA   7.551 1 S
 ED22   5.191 1 S
 ED22   2.751 1 P
 ED17   1.801 1 P
 ED17   3.291 1 S
 MMO1   1.361 1 P
 ED09   6.181 1 S
 ED09   3.151 1 P
 ED20   7.281 1 S
 ED20   3.831 1 P
 ED16   1.671 1 P
 ED16   2.131 1 S
 TERO  13.311 1 S
T1246  12.651 1 S
 ED07  11.351 1 S
 GIGS  17.441 1 S
 CAMP  13.201 1 S
 ED05  15.071 1 S
# 2016 10 14 00 05 17.494 42.7409  13.1790   6.338  0.45 0 0 0      8
 ED01   8.286 1 S
T1218   3.876 1 S
 ED02   8.346 1 S
 ED11   2.446 1 P
T1217   7.096 1 S
T1212   4.066 1 S
T1212   2.086 1 P
T1215   8.436 1 S
 ED12   3.386 1 P
 ED12   6.136 1 S
T1214   0.866 1 P
T1244   2.326 1 P
 ED23   3.846 1 S
 TERO   5.976 1 P
T1246   9.786 1 S
T1202   2.506 1 S
T1202   1.376 1 P
 ED25   7.616 1 S
T1201   2.376 1 P
 ED24   3.666 1 S
 ED24   1.776 1 P
# 2016 10 14 00 05 38.006 42.8821  13.2475   2.584  0.22 0 0 0      9
T1202   7.484 1 S
 ED10   4.714 1 S
T1245   2.254 1 S
T1245   1.034 1 P
 NRCA   4.024 1 S
 ED19   1.694 1 P
 ED19   3.284 1 S
  MC2   2.414 1 S
 CSP1   8.524 1 S
 ED18   4.434 1 S
 ED21   5.424 1 S
 ED17   3.534 1 S
 MMO1   1.224 1 P
 MMO1   2.554 1 S
 ED20   6.894 1 S
 ED16   2.804 1 S
# 2016 10 14 00 05 55.997 42.7405  13.1797   5.198  0.47 0 0 0     10
T1218   1.943 1 P
T1218   3.113 1 S
 ED02   8.503 1 S
 ED11   2.563 1 P
 ED12   6.343 1 S
 ED10   2.253 1 S
T1214   0.893 1 P
 ED20   6.743 1 S
 ED23   1.923 1 P
 ED23   3.803 1 S
